time,FIT101,MV101,LIT101,P101,FIT201,LIT301
2023-07-31T16:45:06,2.55,1,0.500740740740741,1,2.45,0.507037037037037
2023-07-31T16:45:07,2.55,1,0.502592592592592,1,2.45,0.52462962962963
2023-07-31T16:45:08,2.55,1,0.504444444444444,1,2.45,0.542222222222222
2023-07-31T16:45:09,2.55,1,0.505925925925926,1,2.45,0.556296296296296
2023-07-31T16:45:10,2.55,1,0.507777777777777,1,2.45,0.573888888888888
2023-07-31T16:45:11,2.55,1,0.509629629629629,1,2.45,0.591481481481481
2023-07-31T16:45:12,2.55,1,0.511481481481481,1,2.45,0.609074074074073
2023-07-31T16:45:13,2.55,1,0.513333333333333,1,2.45,0.626666666666665
2023-07-31T16:45:14,2.55,1,0.515185185185185,1,2.45,0.644259259259258
2023-07-31T16:45:15,2.55,1,0.517037037037036,1,2.45,0.66185185185185
2023-07-31T16:45:16,2.55,1,0.518888888888888,1,2.45,0.679444444444443
2023-07-31T16:45:17,2.55,1,0.520370370370369,1,2.45,0.693518518518517
2023-07-31T16:45:18,2.55,1,0.522222222222221,1,2.45,0.711111111111109
2023-07-31T16:45:19,2.55,1,0.524074074074073,1,2.45,0.728703703703701
2023-07-31T16:45:20,2.55,1,0.525925925925925,1,2.45,0.746296296296294
2023-07-31T16:45:21,2.55,1,0.527777777777777,1,2.45,0.763888888888886
2023-07-31T16:45:22,2.55,1,0.529629629629628,1,2.45,0.781481481481478
2023-07-31T16:45:23,2.55,1,0.53148148148148,1,2.45,0.799074074074071
2023-07-31T16:45:24,2.55,1,0.533333333333332,1,2.45,0.816666666666663
2023-07-31T16:45:25,2.55,1,0.534814814814813,1,2.45,0.834259259259256
2023-07-31T16:45:26,2.55,1,0.536666666666665,1,2.45,0.848333333333329
2023-07-31T16:45:27,2.55,1,0.538518518518517,1,2.45,0.865925925925922
2023-07-31T16:45:28,2.55,1,0.540370370370369,1,2.45,0.883518518518514
2023-07-31T16:45:29,2.55,1,0.54222222222222,1,2.45,0.901111111111107
2023-07-31T16:45:30,2.55,1,0.544074074074072,1,2.45,0.918703703703699
2023-07-31T16:45:31,2.55,1,0.545925925925924,1,2.45,0.936296296296291
2023-07-31T16:45:32,2.55,1,0.547777777777776,1,2.45,0.953888888888884
2023-07-31T16:45:33,2.55,1,0.549259259259257,1,2.45,0.971481481481476
2023-07-31T16:45:34,2.55,1,0.551111111111109,1,2.45,0.98555555555555
2023-07-31T16:45:35,2.55,1,0.552962962962961,1,2.45,1.00314814814814
2023-07-31T16:45:36,2.55,1,0.572962962962961,0,0.0,1.01166666666666
2023-07-31T16:45:37,2.55,1,0.620185185185183,0,0.0,0.983888888888883
2023-07-31T16:45:38,2.55,1,0.667407407407405,0,0.0,0.956111111111105
2023-07-31T16:45:39,2.55,1,0.714629629629627,0,0.0,0.928333333333328
2023-07-31T16:45:40,2.55,1,0.761851851851849,0,0.0,0.90055555555555
2023-07-31T16:45:41,2.55,1,0.809074074074072,0,0.0,0.872777777777772
2023-07-31T16:45:42,2.55,1,0.846851851851849,0,0.0,0.85055555555555
2023-07-31T16:45:43,2.55,1,0.894074074074072,0,0.0,0.822777777777773
2023-07-31T16:45:44,2.55,1,0.941296296296294,0,0.0,0.794999999999995
2023-07-31T16:45:45,2.55,1,0.961296296296294,1,2.45,0.785370370370365
2023-07-31T16:45:46,2.55,1,0.963148148148146,1,2.45,0.802962962962958
2023-07-31T16:45:47,2.55,1,0.964999999999998,1,2.45,0.82055555555555
2023-07-31T16:45:48,2.55,1,0.96685185185185,1,2.45,0.838148148148142
2023-07-31T16:45:49,2.55,1,0.968703703703703,1,2.45,0.855740740740735
2023-07-31T16:45:50,2.55,1,0.970185185185184,1,2.45,0.869814814814809
2023-07-31T16:45:51,2.55,1,0.972037037037036,1,2.45,0.887407407407401
2023-07-31T16:45:52,2.55,1,0.973888888888888,1,2.45,0.904999999999993
2023-07-31T16:45:53,2.55,1,0.975740740740741,1,2.45,0.922592592592586
2023-07-31T16:45:54,2.55,1,0.977592592592593,1,2.45,0.940185185185178
2023-07-31T16:45:55,2.55,1,0.979444444444445,1,2.45,0.957777777777771
2023-07-31T16:45:56,2.55,1,0.981296296296297,1,2.45,0.975370370370363
2023-07-31T16:45:57,2.55,1,0.983148148148149,1,2.45,0.992962962962955
2023-07-31T16:45:58,2.55,1,0.984629629629631,1,2.45,1.00703703703703
2023-07-31T16:45:59,2.55,1,1.02277777777778,0,0.0,0.9974074074074
2023-07-31T16:46:00,2.55,1,1.07,0,0.0,0.969629629629622
2023-07-31T16:46:01,2.55,1,1.11722222222222,0,0.0,0.941851851851844
2023-07-31T16:46:02,2.55,1,1.16444444444445,0,0.0,0.914074074074067
2023-07-31T16:46:03,2.55,1,1.20222222222222,0,0.0,0.886296296296289
2023-07-31T16:46:04,2.55,1,1.20222222222222,0,0.0,0.858518518518511
2023-07-31T16:46:05,2.55,1,1.20222222222222,0,0.0,0.830740740740734
2023-07-31T16:46:06,2.55,1,1.20222222222222,0,0.0,0.802962962962956
2023-07-31T16:46:07,2.55,1,1.20222222222222,1,0.0,0.780740740740734
2023-07-31T16:46:08,2.55,1,1.20222222222222,1,0.0,0.752962962962956
2023-07-31T16:46:09,2.55,1,1.20222222222222,1,0.0,0.725185185185178
2023-07-31T16:46:10,2.55,1,1.20222222222222,1,0.0,0.697407407407401
2023-07-31T16:46:11,2.55,1,1.20222222222222,1,0.0,0.669629629629623
2023-07-31T16:46:12,2.55,1,1.20222222222222,1,0.0,0.641851851851845
2023-07-31T16:46:13,2.55,1,1.20222222222222,1,0.0,0.614074074074068
2023-07-31T16:46:14,2.55,1,1.20222222222222,1,0.0,0.58629629629629
2023-07-31T16:46:15,2.55,1,1.20222222222222,1,0.0,0.564074074074068
2023-07-31T16:46:16,2.55,1,1.20222222222222,1,0.0,0.53629629629629
2023-07-31T16:46:17,2.55,1,1.20222222222222,1,0.0,0.508518518518512
2023-07-31T16:46:18,2.55,1,1.20222222222222,1,0.0,0.480740740740735
2023-07-31T16:46:19,2.55,1,1.20222222222222,1,0.0,0.452962962962957
2023-07-31T16:46:20,2.55,1,1.20222222222222,1,0.0,0.425185185185179
